Product_ID,Product_Name,Product_Category,Product_Sub_Category,Gender_Target,Age_Group,Brand_Name,Product_Type,Color,Material,Style,Pattern,Season,Sleeve_Length,Fit_Type,Occasion_Tag,Product_Price,Cost
P8006,Formal Red Shirt Dress,Dresses,Maxi Dress,Female,Adult,Bodyflirt,Shirt Dress,Red,Viscose,Formal,Floral,Spring/Summer,Sleeveless,Relaxed,,112.96,40.43
P8078,Formal Olive Casual Shirt,Menswear,Shirts,Male,Adult,Linea Tesini,Casual Shirt,Olive,Linen,Formal,Striped,All Season,Long Sleeve,Petite,,55.66,30.35
P8066,Casual Beige Push-Up Bra,Lingerie,Bras,Female,Adult,Rainbow Kids,Push-Up Bra,Beige,Cotton,Casual,Lace,Autumn/Winter,,Slim,Vacation,53.38,18.18
P8088,Athleisure White Waistcoat,Menswear,Suits,Male,Adult,Maite Kelly,Waistcoat,White,Polyester,Athleisure,Solid,Spring/Summer,Sleeveless,Petite,Wedding,82.99,37.68
P8060,Vintage Olive T-Shirt Bra,Lingerie,Bras,Female,Adult,Bonprix Basics,T-Shirt Bra,Olive,Lace,Vintage,Solid,Autumn/Winter,,Petite,Vacation,33.18,11.14
P8146,Athleisure Olive Swim Cover-Up,Swimwear,Swimsuits,Female,Adult,Rainbow Kids,Swim Cover-Up,Olive,Nylon,Athleisure,Printed,All Season,,Plus Size,Party,18.88,10.03
P8016,Streetwear Mustard Party Dress,Dresses,Party Dress,Female,Adult,Sheego,Party Dress,Mustard,Velvet,Streetwear,Printed,Spring/Summer,3/4 Sleeve,Slim,Vacation,34.51,14.01
P8007,Athleisure Maroon Maxi Dress,Dresses,Maxi Dress,Female,Adult,Maite Kelly,Maxi Dress,Maroon,Polyester,Athleisure,Solid,Autumn/Winter,3/4 Sleeve,Regular,Wedding,111.85,58.49
P8103,Vintage Denim Blue Heels,Footwear,Sandals,Female,Adult,Sheego,Heels,Denim Blue,Synthetic Leather,Vintage,Solid,All Season,,Slim,Wedding,33.17,11.8
P8152,Athleisure Blush Pink Swim Cover-Up,Swimwear,Swimsuits,Female,Adult,Bpc Selection,Swim Cover-Up,Blush Pink,Spandex Blend,Athleisure,Printed,Spring/Summer,,Petite,Sportswear,44.25,18.62
P8073,Streetwear Red Nightgown,Lingerie,Nightwear,Female,Adult,Bpc Selection,Nightgown,Red,Cotton,Streetwear,Printed,Autumn/Winter,Sleeveless,Regular,Party,64.52,27.91
P8020,Vintage Navy Blouse,Tops,Blouses,Female,Adult,Maite Kelly,Blouse,Navy,Polyester,Vintage,Floral,All Season,Long Sleeve,Petite,Sportswear,82.94,36.91
P8022,Streetwear White Blouse,Tops,Blouses,Female,Adult,Linea Tesini,Blouse,White,Polyester,Streetwear,Floral,Autumn/Winter,Short Sleeve,Petite,Wedding,59.36,22.18
