Customer_ID,Product_ID,score,n_events,last_event_date,actions
CUST2000,P8029,7,4,2026-06-05,"['Bought', 'Exchanged', 'Support_Contact']"
CUST2000,P8037,5,1,2025-10-25,['Bought']
CUST2000,P8038,1,1,2026-07-26,['Browsed']
CUST2000,P8042,1,1,2026-02-08,['Browsed']
CUST2000,P8056,7,2,2026-08-16,"['Bought', 'Reviewed']"
CUST2000,P8081,3,2,2026-01-05,"['Bought', 'Returned']"
CUST2000,P8097,7,2,2026-06-06,"['Bought', 'Reviewed']"
CUST2000,P8114,2,1,2026-02-24,['Wishlisted']
CUST2000,P8117,3,1,2026-04-10,['Added_to_Cart']
CUST2000,P8122,4,3,2026-08-13,"['Bought', 'Browsed', 'Returned']"
CUST2000,P8124,1,1,2025-09-05,['Browsed']
CUST2000,P8130,1,1,2026-03-06,['Browsed']
CUST2000,P8140,2,1,2026-04-18,['Wishlisted']
CUST2001,P8006,3,1,2026-05-09,['Added_to_Cart']
CUST2001,P8009,3,1,2026-07-06,['Added_to_Cart']
CUST2001,P8011,5,2,2026-05-18,"['Bought', 'Support_Contact']"
CUST2001,P8038,5,1,2025-05-30,['Bought']
CUST2001,P8042,1,1,2026-05-19,['Browsed']
CUST2001,P8051,1,1,2025-12-02,['Browsed']
CUST2001,P8061,5,1,2025-07-05,['Bought']
CUST2001,P8065,5,1,2025-04-22,['Bought']
CUST2001,P8092,5,1,2026-03-29,['Bought']
CUST2001,P8101,5,2,2026-04-03,"['Bought', 'Support_Contact']"
CUST2001,P8133,3,1,2026-05-02,['Added_to_Cart']
CUST2001,P8143,1,1,2025-10-26,['Browsed']
CUST2002,P8027,7,3,2025-12-19,"['Bought', 'Reviewed']"
CUST2002,P8031,3,2,2026-02-01,"['Bought', 'Returned']"
CUST2002,P8056,1,1,2026-07-25,['Browsed']
CUST2002,P8059,3,1,2026-07-09,['Added_to_Cart']
CUST2002,P8084,3,1,2026-03-25,['Added_to_Cart']
CUST2002,P8094,2,1,2025-11-08,['Wishlisted']
CUST2002,P8115,1,1,2026-08-23,['Exchanged']
CUST2002,P8143,1,1,2025-09-20,['Browsed']
CUST2003,P8046,2,1,2026-06-09,['Wishlisted']
CUST2003,P8047,1,1,2026-05-12,['Browsed']
CUST2003,P8052,5,1,2026-01-11,['Bought']
CUST2003,P8059,5,1,2026-01-18,['Bought']
CUST2003,P8080,2,1,2026-05-24,['Wishlisted']
CUST2003,P8083,6,2,2026-08-12,"['Bought', 'Browsed']"
CUST2003,P8085,2,1,2026-07-06,['Wishlisted']
CUST2003,P8096,2,1,2026-05-07,['Wishlisted']
CUST2003,P8097,3,2,2025-07-14,"['Bought', 'Returned']"
CUST2003,P8121,5,2,2025-10-13,"['Bought', 'Reviewed']"
CUST2003,P8137,1,1,2026-06-21,['Browsed']
CUST2003,P8144,2,1,2026-07-07,['Wishlisted']
CUST2004,P8028,2,1,2026-01-15,['Wishlisted']
CUST2004,P8030,1,1,2026-03-20,['Browsed']
CUST2004,P8052,1,1,2026-08-20,['Browsed']
CUST2004,P8060,1,1,2026-04-26,['Browsed']
CUST2004,P8061,2,1,2026-07-26,['Wishlisted']
CUST2004,P8113,2,1,2026-07-09,['Wishlisted']
CUST2004,P8116,3,1,2026-08-17,['Added_to_Cart']
CUST2004,P8117,1,1,2026-03-18,['Browsed']
CUST2004,P8133,2,7,2026-07-23,"['Bought', 'Exchanged', 'Returned', 'Reviewed']"
CUST2004,P8136,1,1,2025-09-17,['Browsed']
CUST2004,P8138,5,1,2026-05-06,['Bought']
CUST2004,P8146,5,1,2026-04-19,['Bought']
CUST2005,P8028,1,1,2026-06-15,['Browsed']
CUST2005,P8031,5,1,2025-12-08,['Bought']
CUST2005,P8038,1,1,2026-08-09,['Browsed']
CUST2005,P8048,2,1,2026-01-03,['Wishlisted']
CUST2005,P8051,1,1,2026-04-15,['Browsed']
CUST2005,P8055,5,1,2025-07-29,['Bought']
CUST2005,P8057,6,2,2025-05-18,"['Bought', 'Exchanged']"
CUST2005,P8076,1,1,2026-05-17,['Browsed']
CUST2005,P8082,3,1,2026-03-09,['Added_to_Cart']
CUST2005,P8083,1,1,2026-07-09,['Browsed']
CUST2005,P8093,1,2,2026-07-26,"['Exchanged', 'Reviewed']"
CUST2005,P8110,1,1,2026-01-03,['Browsed']
CUST2005,P8114,1,1,2025-11-14,['Browsed']
CUST2005,P8116,5,2,2025-09-21,"['Bought', 'Support_Contact']"
CUST2005,P8121,1,1,2026-05-20,['Browsed']
CUST2005,P8123,5,2,2025-09-26,"['Bought', 'Support_Contact']"
CUST2006,P8008,1,1,2026-01-27,['Browsed']
CUST2006,P8016,2,1,2026-07-11,['Wishlisted']
CUST2006,P8035,3,1,2026-05-07,['Added_to_Cart']
CUST2006,P8063,3,2,2025-09-27,"['Bought', 'Returned']"
CUST2006,P8064,3,1,2026-05-01,['Added_to_Cart']
CUST2006,P8070,1,1,2026-05-08,['Browsed']
CUST2006,P8074,3,1,2026-08-08,['Added_to_Cart']
CUST2006,P8113,1,1,2026-05-26,['Browsed']
CUST2006,P8114,2,1,2026-05-07,['Wishlisted']
CUST2006,P8115,14,6,2026-08-23,"['Bought', 'Exchanged', 'Reviewed', 'Support_Contact']"
CUST2006,P8125,1,1,2026-07-11,['Browsed']
CUST2006,P8132,1,1,2025-12-04,['Browsed']
